COUNTRY,COURSE (SPECIALIZATION),FEES_category,FEES_Smoothed_ES,COURSE TYPE_M.ENG,COURSE TYPE_M.Sc,COURSE TYPE_MASTERS OF MANAGEMENT,COURSE TYPE_MBA
USA,MASTER OF MANAGEMENT in Hospital/Healthcare Management,High,2.538055152403456,0,0,1,0
USA,"MASTER OF MANAGEMENT in Sports,Leisure & Tourism",High,2.7978843504130806,0,0,1,0
USA,MASTER OF MANAGEMENT in Wine & Gastronomy,Low,1.4018384576277276,0,0,1,0
USA,MASTER OF MANAGEMENT in Public Relations Management,High,1.3393613516854828,0,0,1,0
USA,MASTER OF MANAGEMENT in Sports Management,High,1.1443851005929324,0,0,1,0
USA,MASTER OF MANAGEMENT in Spriti Marketing,High,1.2321575173568733,0,0,1,0
USA,MASTER OF MANAGEMENT in Finance,High,1.5952483241403863,0,0,1,0
USA,MASTER OF MANAGEMENT in Eco-Design & Sustainable,Medium,1.1062038567356332,0,0,1,0
USA,M.ENG in Marine,Low,0.497790627065091,1,0,0,0
USA,M.ENG in Electrical,High,0.9683334680950916,1,0,0,0
USA,M.ENG in Architecture,High,1.7583939597466327,1,0,0,0
USA,M.ENG in IT & Networking,High,2.344118544535368,1,0,0,0
USA,M.ENG in Chemical,High,2.7214435132548256,1,0,0,0
USA,M.ENG in Aerospace,High,2.855746012222123,1,0,0,0
USA,M.ENG in Energy & Environment,High,3.0295163322097163,1,0,0,0
USA,M.ENG in Industrial,High,2.8860817309914246,1,0,0,0
USA,M.ENG in Production,Medium,2.061244382712076,1,0,0,0
USA,M.ENG in Nuclear ,Low,1.150568934890584,1,0,0,0
USA,M.ENG in Nanotechnology,Medium,0.7710424360331384,1,0,0,0
USA,M.ENG in Software,High,1.6574923614785777,1,0,0,0
USA,M.ENG in Bio Engineering,High,1.8908966117146555,1,0,0,0
USA,M.Sc in Psychology ,High,1.7217551854512825,0,1,0,0
USA,M.Sc in NeuroScience,High,2.1202918637789736,0,1,0,0
USA,M.Sc in Environment,High,2.399267538608358,0,1,0,0
USA,M.Sc in Agriculture,High,2.0964940454226704,0,1,0,0
USA,M.Sc in Forensic Science,Medium,1.4657679476191263,0,1,0,0
USA,M.Sc in Botany,Medium,1.138577980972454,0,1,0,0
USA,M.Sc in Energy & Environment,High,1.1550790180267916,0,1,0,0
USA,M.Sc in Zoology,High,1.042089550968482,0,1,0,0
USA,M.Sc in Geology,High,1.6801982386216827,0,1,0,0
CANADA,MBA in Executive MBA,High,1.4780460219108698,0,0,0,1
CANADA,MBA in Banking,Medium,1.1167542703643163,0,0,0,1
CANADA,MBA in Business Administration,High,1.7548662811789466,0,0,0,1
CANADA,MBA in Hospital/Healthcare Management,High,1.5703258982813977,0,0,0,1
CANADA,MBA in Human Resource Management,Medium,1.1561886357476818,0,0,0,1
CANADA,MBA in International Business,Medium,0.8914541000500847,0,0,0,1
CANADA,MBA in Entrepreneurship & Leadership Management,Medium,0.7061399250617666,0,0,0,1
CANADA,MBA in Project Management,Medium,0.5018843745973425,0,0,0,1
CANADA,MBA in Marketing,Medium,0.2877298634787819,0,0,0,1
CANADA,MASTERS OF MANAGEMENT in Hotel Management,Low,-0.0186364270554795,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Marketing,Low,-0.2407361943885008,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Event Management,Low,-0.399976414816958,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Logistics & Supply Chain ,Low,-0.5598183486990159,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in International Business ,High,0.1974300478701951,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Supply Chain Management,Medium,0.1248323293748255,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Hospital/Healthcare Management,High,1.0025544665538637,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Real Estate,Low,0.4176186098857876,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Human Resource Management,Low,0.0209879472603923,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Risk Management,Medium,-0.1674723806584439,0,0,1,0
CANADA,"MASTERS OF MANAGEMENT in Sports,Leisure & Tourism",Low,-0.4398734942896018,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Eco-Design & Sustainable,High,0.1933901567915767,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Tourism,Medium,0.1687366523799075,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Data Analysis,High,0.8354064277164394,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Digital Marketing,High,1.1659566972148554,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Leadership,Medium,0.8662050000847206,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Public Relations Management,Medium,0.4119963392480662,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Sports Management,High,1.2461464041111407,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Stratergic Management,Medium,0.6901385391370799,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Business Analytics,High,1.0036608861403815,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Purchasing & resourcing,Low,0.379919792469576,0,0,1,0
CANADA,MASTERS OF MANAGEMENT in Project Management,High,1.2236928213661973,0,0,1,0
CANADA,M.ENG in Mechanical,High,1.6199154762003447,1,0,0,0
CANADA,M.ENG in Electrical,Low,0.8996070784246053,1,0,0,0
CANADA,M.ENG in Architecture,Medium,0.4334448952679278,1,0,0,0
CANADA,M.ENG in Civil ,Medium,0.1208371018306289,1,0,0,0
CANADA,M.ENG in IT & Networking,Medium,0.1628606939418876,1,0,0,0
CANADA,M.ENG in Chemical,High,0.8773329870033276,1,0,0,0
CANADA,M.ENG in Computer Science Engineering,High,1.1419043341921549,1,0,0,0
CANADA,M.ENG in Aerospace,High,1.562663535178515,1,0,0,0
CANADA,M.ENG in Agriculture,Medium,0.8975844149956649,1,0,0,0
CANADA,M.ENG in Biomedical,Low,0.2057638960615666,1,0,0,0
CANADA,M.ENG in Biology,Low,-0.2145934725391133,1,0,0,0
CANADA,M.ENG in Environmental,High,0.4447045636789847,1,0,0,0
CANADA,M.ENG in Mining,Medium,0.1673717231058072,1,0,0,0
CANADA,M.ENG in Industrial,Medium,0.0259984650777576,1,0,0,0
CANADA,M.ENG in Nanotechnology,High,0.1944266982517155,1,0,0,0
CANADA,M.ENG in Nuclear ,Medium,0.040397098747021,1,0,0,0
CANADA,M.ENG in Software,High,0.8588598189018142,1,0,0,0
CANADA,M.ENG in Texttile,Low,0.4042385275809856,1,0,0,0
CANADA,M.Sc in Physics,High,0.935856536937248,0,1,0,0
CANADA,M.Sc inChemistry,Low,0.2871550436229396,0,1,0,0
CANADA,M.Sc inBiology,High,0.6591980154701405,0,1,0,0
CANADA,M.Sc inPsychology ,Low,0.1191600264737885,0,1,0,0
CANADA,M.Sc inNursing,Low,-0.2245077296671544,0,1,0,0
CANADA,M.Sc inEnvironment,Low,-0.6153047919755646,0,1,0,0
CANADA,M.Sc inAgriculture,Medium,-0.3130168600951598,0,1,0,0
CANADA,M.Sc inEnergy & Environment,Low,-0.4180479982084291,0,1,0,0
CANADA,M.Sc inZoology,Medium,-0.3660774892872467,0,1,0,0
CANADA,M.Sc inMathematics,High,0.2741610276945673,0,1,0,0
FRANCE,MBA in Sales & Marketing,High,0.4532803246412116,0,0,0,1
FRANCE,MBA inBanking,Low,0.0471987839045557,0,0,0,1
FRANCE,MBA inBusiness Administration,High,0.5752162985723153,0,0,0,1
FRANCE,MBA in Hospital/Healthcare Management,Low,0.117476941193262,0,0,0,1
FRANCE,MBA in Human Resource Management,Low,-0.2975489254643168,0,0,0,1
FRANCE,MBA in Internal Business,High,0.0530833574299928,0,0,0,1
FRANCE,MBA in Supply Chain & Logistics Management,Medium,-0.1028997722968063,0,0,0,1
FRANCE,MBA in Entrepreneurship & Leadership Management,Medium,-0.2629729149228276,0,0,0,1
FRANCE,MBA in Tourism,Low,-0.4918710386800247,0,0,0,1
FRANCE,MBA in Business Engineer,Medium,-0.4983140966798287,0,0,0,1
FRANCE,MBA in Finance,Low,-0.5819786063089206,0,0,0,1
FRANCE,MBA in Accounting,Low,-0.6774824677605366,0,0,0,1
FRANCE,MBA in Project Management,Medium,-0.665180801747439,0,0,0,1
FRANCE,MBA in Gastronomy,Medium,-0.4194834556291384,0,0,0,1
FRANCE,MBA in Information Technology,Medium,-0.3228804273044425,0,0,0,1
FRANCE,MBA in Leadership Management,High,0.6007396545598509,0,0,0,1
FRANCE,MBA in Luxury Management,Medium,0.2993059152282745,0,0,0,1
FRANCE,MBA in Wine Marketing & Management,Low,-0.0247753753303041,0,0,0,1
FRANCE,MASTERS OF MANAGEMENT in Hotel Management,Low,-0.3965953902877418,0,0,1,0
FRANCE,MASTERS OF MANAGEMENT in Management,Medium,-0.1722387617118529,0,0,1,0
FRANCE,MASTERS OF MANAGEMENT in Marketing,High,0.2884121735691734,0,0,1,0
FRANCE,MASTERS OF MANAGEMENT in Event Management,Medium,0.1281229115507149,0,0,1,0
FRANCE,MASTERS OF MANAGEMENT in Luxury and Brand,Medium,-0.0303940246550841,0,0,1,0
FRANCE,MASTERS OF MANAGEMENT in Digital Marketing & E-Business,High,0.1362850301278385,0,0,1,0
